item,geo,inception
http://www.wikidata.org/entity/Q9694,Point(4.764169444 52.3081),
http://www.wikidata.org/entity/Q1433650,Point(6.515833 52.730833),
http://www.wikidata.org/entity/Q1137714,Point(-63.220555555 17.645555555),
http://www.wikidata.org/entity/Q1348234,Point(5.374167 51.450556),
http://www.wikidata.org/entity/Q1430982,Point(-68.268611111 12.131111111),
http://www.wikidata.org/entity/Q1431193,Point(4.782778 52.9225),
http://www.wikidata.org/entity/Q1431875,Point(5.523056 52.455278),
http://www.wikidata.org/entity/Q2479758,Point(-62.979444444 17.496388888),
http://www.wikidata.org/entity/Q2635011,Point(5.085625 53.296866666),
http://www.wikidata.org/entity/Q2645354,Point(6.062777777 51.393055555),
http://www.wikidata.org/entity/Q647253,Point(6.893055555 52.279166666),
http://www.wikidata.org/entity/Q656807,Point(4.433333333 51.95),
http://www.wikidata.org/entity/Q698063,Point(5.769536 50.912558),
http://www.wikidata.org/entity/Q769099,Point(6.578056 53.120556),
http://www.wikidata.org/entity/Q1656986,Point(6.128333 53.118056),
http://www.wikidata.org/entity/Q1927092,Point(3.729167 51.512222),
http://www.wikidata.org/entity/Q1951123,Point(5.924444444 52.057222222),
http://www.wikidata.org/entity/Q1964699,Point(7.022777777 52.998611111),
http://www.wikidata.org/entity/Q2179954,Point(7.025278 53.208056),
http://www.wikidata.org/entity/Q2253210,Point(6.046667 52.241389),
http://www.wikidata.org/entity/Q2719509,Point(5.683889 53.452778),
http://www.wikidata.org/entity/Q2854870,Point(4.09 51.959444444),
http://www.wikidata.org/entity/Q2962573,Point(5.601944 51.256389),
http://www.wikidata.org/entity/Q3100416,Point(4.357 52.041),
http://www.wikidata.org/entity/Q5764788,Point(5.147222 52.1925),
http://www.wikidata.org/entity/Q7451978,Point(4.5525 51.554722222),
http://www.wikidata.org/entity/Q18088898,Point(4.45528 51.7531),
http://www.wikidata.org/entity/Q21680838,Point(3.583056 51.459722),
