item,geo,inception
http://www.wikidata.org/entity/Q801075,Point(4.482222 52.166389),
http://www.wikidata.org/entity/Q612934,Point(5.71021 52.84387),
http://www.wikidata.org/entity/Q252682,Point(5.475278 51.439444),
http://www.wikidata.org/entity/Q1781661,Point(4.36 52.0065),
http://www.wikidata.org/entity/Q1808471,Point(4.77619 51.58798),
http://www.wikidata.org/entity/Q1809456,Point(5.82409 53.33862),
http://www.wikidata.org/entity/Q1809456,Point(5.82407 53.33865),
http://www.wikidata.org/entity/Q1814073,Point(6.174692 51.372875),
http://www.wikidata.org/entity/Q1814184,Point(5.82557 53.33899),
http://www.wikidata.org/entity/Q1814184,Point(5.82557 53.339),
http://www.wikidata.org/entity/Q1814428,Point(5.403833 53.054525),
http://www.wikidata.org/entity/Q1816267,Point(4.73817 51.57589),
http://www.wikidata.org/entity/Q1816309,Point(4.309986 52.082858),
http://www.wikidata.org/entity/Q1816733,Point(5.30486 51.68665),
http://www.wikidata.org/entity/Q1818525,Point(4.661111 51.808611),
http://www.wikidata.org/entity/Q1819360,Point(6.11695 52.78649),
http://www.wikidata.org/entity/Q1822411,Point(5.344166666 51.641805555),
http://www.wikidata.org/entity/Q1824514,Point(6.53583 53.24056),
http://www.wikidata.org/entity/Q1825645,Point(5.304508 51.689217),
http://www.wikidata.org/entity/Q1827854,Point(4.48914 52.15656),
http://www.wikidata.org/entity/Q1828541,Point(6.5714 53.21608),
http://www.wikidata.org/entity/Q1828541,Point(6.57138 53.21612),
http://www.wikidata.org/entity/Q1834732,Point(4.31043 52.07921),
http://www.wikidata.org/entity/Q1835417,Point(5.30851 51.68886),
http://www.wikidata.org/entity/Q1836605,Point(6.171111 51.370833),
http://www.wikidata.org/entity/Q1837382,Point(4.897444444 52.37525),
http://www.wikidata.org/entity/Q1847869,Point(5.82387 53.3386),
http://www.wikidata.org/entity/Q1853021,Point(4.39583 51.91722),
http://www.wikidata.org/entity/Q1857764,Point(4.9018 52.37626),
http://www.wikidata.org/entity/Q1857764,Point(4.90206 52.37627),
