item,geo
http://www.wikidata.org/entity/Q639321,Point(4.881619 52.357611)
http://www.wikidata.org/entity/Q682020,Point(4.889444 52.366944)
http://www.wikidata.org/entity/Q683180,Point(4.893333 52.366944)
http://www.wikidata.org/entity/Q3776,Point(5.90583 51.98354)
http://www.wikidata.org/entity/Q3781,Point(5.29278 51.6834)
http://www.wikidata.org/entity/Q3784,Point(4.48222 51.90972)
http://www.wikidata.org/entity/Q281703,Point(4.889444 52.368611)
http://www.wikidata.org/entity/Q839050,Point(4.892778 52.373056)
http://www.wikidata.org/entity/Q863935,Point(4.313375 52.079639)
http://www.wikidata.org/entity/Q5536328,Point(5.66722 51.96722)
http://www.wikidata.org/entity/Q3411164,Point(5.30361 51.69)
http://www.wikidata.org/entity/Q3428396,Point(4.955209 52.39272)
http://www.wikidata.org/entity/Q3445410,Point(5.387281 52.154222)
http://www.wikidata.org/entity/Q3516485,Point(5.68842 50.84917)
http://www.wikidata.org/entity/Q3897742,Point(5.9033 51.98313)
http://www.wikidata.org/entity/Q2804052,Point(5.96806 51.70167)
http://www.wikidata.org/entity/Q2834612,Point(4.85722 52.34389)
http://www.wikidata.org/entity/Q2863344,Point(4.895 52.37611)
http://www.wikidata.org/entity/Q2883407,Point(4.776111 51.588611)
http://www.wikidata.org/entity/Q2899897,Point(5.793611111 53.199444444)
http://www.wikidata.org/entity/Q2915920,Point(4.88675 52.379527777)
http://www.wikidata.org/entity/Q2928120,Point(5.36278 51.71694)
http://www.wikidata.org/entity/Q2939174,Point(4.87909 52.35624)
http://www.wikidata.org/entity/Q2963448,Point(6.09195 52.51151)
http://www.wikidata.org/entity/Q2981653,Point(4.84649 52.38586)
http://www.wikidata.org/entity/Q3001959,Point(4.850556 52.369444)
http://www.wikidata.org/entity/Q3065197,Point(5.11773 52.08962)
http://www.wikidata.org/entity/Q3104952,Point(4.895833 52.365278)
http://www.wikidata.org/entity/Q3125859,Point(4.890277777 52.389444444)
http://www.wikidata.org/entity/Q3135742,Point(6.16028 52.25222)
http://www.wikidata.org/entity/Q3150017,Point(4.87037 52.3688)
http://www.wikidata.org/entity/Q3150292,Point(4.81119 52.3458)
http://www.wikidata.org/entity/Q3161954,Point(5.90433 51.98242)
http://www.wikidata.org/entity/Q3176015,Point(6.153519 51.365971)
http://www.wikidata.org/entity/Q3207238,Point(4.900555555 52.345555555)
http://www.wikidata.org/entity/Q3223834,Point(5.114167 52.092222)
http://www.wikidata.org/entity/Q3325144,Point(5.47917 51.44139)
http://www.wikidata.org/entity/Q3389657,Point(5.979583333 50.888305555)
http://www.wikidata.org/entity/Q3910389,Point(5.69056 50.85139)
http://www.wikidata.org/entity/Q3915636,Point(5.863556 51.847734)
http://www.wikidata.org/entity/Q4027629,Point(5.12308 52.10237)
http://www.wikidata.org/entity/Q4315899,Point(4.48778459 52.16372019)
http://www.wikidata.org/entity/Q4328726,Point(4.867778 52.368056)
http://www.wikidata.org/entity/Q4355748,Point(5.3793 52.1696)
http://www.wikidata.org/entity/Q4370311,Point(5.12333 52.08167)
http://www.wikidata.org/entity/Q4403696,Point(4.3375 52.08083)
http://www.wikidata.org/entity/Q4488609,Point(4.47111 51.92194)
http://www.wikidata.org/entity/Q4597878,Point(4.77611 51.58861)
http://www.wikidata.org/entity/Q4611757,Point(5.29444 51.68361)
http://www.wikidata.org/entity/Q4644752,Point(4.875175 52.384314)
http://www.wikidata.org/entity/Q4685881,Point(4.90417 52.36778)
http://www.wikidata.org/entity/Q4775954,Point(5.04978 51.6529)
http://www.wikidata.org/entity/Q4886297,Point(6.56167 53.2214)
http://www.wikidata.org/entity/Q4886899,Point(4.87723 52.36911)
http://www.wikidata.org/entity/Q5145509,Point(5.059282 52.639232)
http://www.wikidata.org/entity/Q5166114,Point(5.862686 51.845939)
http://www.wikidata.org/entity/Q5276492,Point(4.786 52.3556)
http://www.wikidata.org/entity/Q1409805,Point(4.882969 52.364133)
http://www.wikidata.org/entity/Q1568693,Point(4.900503 52.372573)
http://www.wikidata.org/entity/Q1579642,Point(4.896642 52.366019)
http://www.wikidata.org/entity/Q1809026,Point(4.48753625 52.15792026)
http://www.wikidata.org/entity/Q1811570,Point(4.883056 52.384444)
http://www.wikidata.org/entity/Q1814138,Point(4.477806 51.924314)
http://www.wikidata.org/entity/Q1817316,Point(6.16917 51.36806)
http://www.wikidata.org/entity/Q1828876,Point(4.307842 52.077028)
http://www.wikidata.org/entity/Q1831324,Point(5.868394 51.844467)
http://www.wikidata.org/entity/Q1835292,Point(4.852777777 52.358333333)
http://www.wikidata.org/entity/Q1848932,Point(4.89528 52.3775)
http://www.wikidata.org/entity/Q1854398,Point(4.882194444 52.370111111)
http://www.wikidata.org/entity/Q1855594,Point(4.908833 52.3597)
http://www.wikidata.org/entity/Q1856657,Point(6.148672 51.368569)
http://www.wikidata.org/entity/Q1858940,Point(5.916342 52.559156)
http://www.wikidata.org/entity/Q1868839,Point(5.693 50.8476)
http://www.wikidata.org/entity/Q1872600,Point(6.09164 52.51045)
http://www.wikidata.org/entity/Q1878206,Point(5.90757 51.98345)
http://www.wikidata.org/entity/Q1882507,Point(4.8725 52.37444)
http://www.wikidata.org/entity/Q1889860,Point(4.863886 52.352656)
http://www.wikidata.org/entity/Q1890950,Point(5.757586 51.824294)
http://www.wikidata.org/entity/Q1896537,Point(5.79484 51.46396)
http://www.wikidata.org/entity/Q1913603,Point(4.92032 52.35409)
http://www.wikidata.org/entity/Q1913962,Point(4.302778 52.088611)
http://www.wikidata.org/entity/Q1928921,Point(4.88194 52.35278)
http://www.wikidata.org/entity/Q1929702,Point(4.28265 52.1128)
http://www.wikidata.org/entity/Q1934716,Point(5.916525 52.558375)
http://www.wikidata.org/entity/Q1938588,Point(4.2785 52.090878)
http://www.wikidata.org/entity/Q1959709,Point(4.8975 52.36222)
http://www.wikidata.org/entity/Q1990453,Point(4.84972 52.35111)
http://www.wikidata.org/entity/Q1991050,Point(4.49167 51.90722)
http://www.wikidata.org/entity/Q1995392,Point(4.776111 51.588611)
http://www.wikidata.org/entity/Q2005578,Point(6.134362 51.341377)
http://www.wikidata.org/entity/Q2006251,Point(4.907778 52.361111)
http://www.wikidata.org/entity/Q2007803,Point(6.17389 51.36972)
http://www.wikidata.org/entity/Q2016633,Point(4.307064 52.077736)
http://www.wikidata.org/entity/Q2022303,Point(6.150563 51.368883)
http://www.wikidata.org/entity/Q2032890,Point(4.3625 52.01139)
http://www.wikidata.org/entity/Q2041159,Point(4.73817 51.57589)
http://www.wikidata.org/entity/Q2045564,Point(5.866217 51.841128)
http://www.wikidata.org/entity/Q2047393,Point(6.56167 53.2231)
http://www.wikidata.org/entity/Q2051496,Point(5.791725 51.824931)
http://www.wikidata.org/entity/Q2052281,Point(4.90561 52.3601)
http://www.wikidata.org/entity/Q2052678,Point(4.899722222 52.360277777)
http://www.wikidata.org/entity/Q2061419,Point(6.56444 53.21694)
http://www.wikidata.org/entity/Q2065572,Point(6.180298 51.359841)
http://www.wikidata.org/entity/Q2074131,Point(4.285 52.08361)
http://www.wikidata.org/entity/Q2083937,Point(4.89167 52.34194)
http://www.wikidata.org/entity/Q2090436,Point(4.47361 51.91667)
http://www.wikidata.org/entity/Q2095205,Point(4.899167 52.378056)
http://www.wikidata.org/entity/Q2095583,Point(6.56111 53.21611)
http://www.wikidata.org/entity/Q2104232,Point(6.288606 51.965333)
