item,geo,inception
http://www.wikidata.org/entity/Q1817281,Point(5.87667 50.91907),
http://www.wikidata.org/entity/Q1825571,Point(6.153611 51.349722),
http://www.wikidata.org/entity/Q1870529,Point(6.137428 51.344197),
http://www.wikidata.org/entity/Q1870777,Point(6.6275 52.99028),
http://www.wikidata.org/entity/Q1891341,Point(5.09772 52.66344),
http://www.wikidata.org/entity/Q1900695,Point(6.17722 51.36111),
http://www.wikidata.org/entity/Q1905049,Point(6.78522 53.36232),
http://www.wikidata.org/entity/Q1905049,Point(6.78553 53.36226),
http://www.wikidata.org/entity/Q1928244,Point(5.945261 50.760944),
http://www.wikidata.org/entity/Q1948583,Point(6.61805 51.93234),
http://www.wikidata.org/entity/Q1949023,Point(5.3755 51.426389),
http://www.wikidata.org/entity/Q1957184,Point(6.08324 51.51658),
http://www.wikidata.org/entity/Q1958516,Point(6.10178 53.1458),
http://www.wikidata.org/entity/Q1970657,Point(6.144444 51.305833),
http://www.wikidata.org/entity/Q1975226,Point(5.212667 51.553175),
http://www.wikidata.org/entity/Q1986937,Point(6.15235 51.36418),
http://www.wikidata.org/entity/Q1995749,Point(5.357569 51.505703),
http://www.wikidata.org/entity/Q1996475,Point(6.275414 53.301784),
http://www.wikidata.org/entity/Q2000772,Point(4.489181 52.229844),
http://www.wikidata.org/entity/Q2036291,Point(5.91608 52.0123),
http://www.wikidata.org/entity/Q2044493,Point(6.89411 52.1807),
http://www.wikidata.org/entity/Q2044493,Point(6.89644 52.18023),
http://www.wikidata.org/entity/Q2776861,Point(6.883471 53.377607),
http://www.wikidata.org/entity/Q2835894,Point(6.485133 53.333157),
http://www.wikidata.org/entity/Q2852051,Point(6.13306 51.34),
http://www.wikidata.org/entity/Q2855442,Point(6.1561467 51.4074373),
http://www.wikidata.org/entity/Q2878076,Point(6.154706 51.365717),
http://www.wikidata.org/entity/Q2903918,Point(3.815833 51.490556),
http://www.wikidata.org/entity/Q2927513,Point(6.184963888 51.337625),
http://www.wikidata.org/entity/Q2990341,Point(6.417158 53.276311),
http://www.wikidata.org/entity/Q2990341,Point(6.417575 53.27612222),
http://www.wikidata.org/entity/Q3032639,Point(5.91442 52.0127),
http://www.wikidata.org/entity/Q3063433,Point(5.94968 50.95086),
http://www.wikidata.org/entity/Q2369174,Point(6.167222 51.381389),
http://www.wikidata.org/entity/Q2426072,Point(5.591772 52.216297),
http://www.wikidata.org/entity/Q2428850,Point(5.379889 51.427167),
http://www.wikidata.org/entity/Q2508106,Point(7.17633 53.19275),
http://www.wikidata.org/entity/Q2526318,Point(4.901008 52.055564),
http://www.wikidata.org/entity/Q2526963,Point(7.15882 53.18943),
http://www.wikidata.org/entity/Q2530159,Point(6.735169 53.019164),
http://www.wikidata.org/entity/Q2557982,Point(5.734722 51.286944),
http://www.wikidata.org/entity/Q2571613,Point(6.18896 51.37601),
http://www.wikidata.org/entity/Q2583017,Point(4.84806 52.48888),
http://www.wikidata.org/entity/Q2617993,Point(4.98598 52.10675),
http://www.wikidata.org/entity/Q2656172,Point(4.5772 52.05681),
http://www.wikidata.org/entity/Q2670677,Point(4.902964 52.533267),
http://www.wikidata.org/entity/Q2674506,Point(6.17497 52.85239),
http://www.wikidata.org/entity/Q2674506,Point(6.17509 52.85245),
http://www.wikidata.org/entity/Q2675803,Point(5.319444 52.163056),
http://www.wikidata.org/entity/Q2678041,Point(5.57674 52.90276),
http://www.wikidata.org/entity/Q2691048,Point(5.058006 52.098547),
http://www.wikidata.org/entity/Q2719875,Point(6.6195 51.94361),
http://www.wikidata.org/entity/Q2725637,Point(4.91787 52.02494),
http://www.wikidata.org/entity/Q2734107,Point(6.51676 53.36714),
http://www.wikidata.org/entity/Q2752115,Point(6.184167 51.47),
http://www.wikidata.org/entity/Q2053488,Point(5.96112 53.36394),
http://www.wikidata.org/entity/Q2053488,Point(5.96133 53.36383),
http://www.wikidata.org/entity/Q2062373,Point(5.132956 52.085308),
http://www.wikidata.org/entity/Q2073331,Point(5.00628 51.73114),
http://www.wikidata.org/entity/Q2086026,Point(6.949242 52.964747),
http://www.wikidata.org/entity/Q2098987,Point(5.87827 51.61363),
http://www.wikidata.org/entity/Q2115344,Point(5.362306 51.718753),
http://www.wikidata.org/entity/Q2125234,Point(6.50276 53.35765),
http://www.wikidata.org/entity/Q2125234,Point(6.50279 53.35775),
http://www.wikidata.org/entity/Q2162780,Point(3.93726 51.80622),
http://www.wikidata.org/entity/Q2189880,Point(5.85962 50.95022),
http://www.wikidata.org/entity/Q2193338,Point(5.95791 50.97887),
http://www.wikidata.org/entity/Q2195261,Point(5.90763 52.0107),
http://www.wikidata.org/entity/Q2198175,Point(5.973889 50.964167),
http://www.wikidata.org/entity/Q2222787,Point(6.136847222 51.309275),
http://www.wikidata.org/entity/Q2226767,Point(5.44524 53.20673),
http://www.wikidata.org/entity/Q2244258,Point(7.17677 53.19679),
http://www.wikidata.org/entity/Q2265127,Point(6.655226 53.39054),
http://www.wikidata.org/entity/Q2265127,Point(6.65547 53.39058),
http://www.wikidata.org/entity/Q2274156,Point(3.667936 51.470908),
http://www.wikidata.org/entity/Q2278631,Point(5.96093 50.95746),
http://www.wikidata.org/entity/Q2296055,Point(3.866666666 51.8),
http://www.wikidata.org/entity/Q2302313,Point(5.82575 53.33936),
http://www.wikidata.org/entity/Q2302644,Point(4.788614 51.938069),
http://www.wikidata.org/entity/Q2311375,Point(6.868756 52.882664),
http://www.wikidata.org/entity/Q2326596,Point(5.091517 52.157744),
http://www.wikidata.org/entity/Q2327618,Point(4.81172 51.9452),
http://www.wikidata.org/entity/Q2330736,Point(6.15355 51.36583),
http://www.wikidata.org/entity/Q2333520,Point(6.5879 52.3358),
http://www.wikidata.org/entity/Q2355175,Point(6.67511 53.39862),
http://www.wikidata.org/entity/Q2355175,Point(6.67532 53.39865),
http://www.wikidata.org/entity/Q2362504,Point(6.45571 53.40627),
http://www.wikidata.org/entity/Q2367851,Point(6.49047 53.34171),
http://www.wikidata.org/entity/Q3091427,Point(5.132056 52.085303),
http://www.wikidata.org/entity/Q3131136,Point(5.93333 51.93056),
http://www.wikidata.org/entity/Q3332321,Point(6.46374 53.40589),
http://www.wikidata.org/entity/Q3361119,Point(6.20185 51.38094),
http://www.wikidata.org/entity/Q3536406,Point(6.15929 52.86571),
http://www.wikidata.org/entity/Q3536406,Point(6.15938 52.86579),
http://www.wikidata.org/entity/Q4453336,Point(3.8868 51.8012),
http://www.wikidata.org/entity/Q17405962,Point(6.05583 51.45997),
http://www.wikidata.org/entity/Q17405999,Point(5.19591 52.02666),
http://www.wikidata.org/entity/Q17406178,Point(5.15385 51.97959),
http://www.wikidata.org/entity/Q17406182,Point(5.12784 52.00406),
http://www.wikidata.org/entity/Q17406365,Point(4.08278 51.34437),
http://www.wikidata.org/entity/Q17406372,Point(6.23299 52.02343),
http://www.wikidata.org/entity/Q17406450,Point(6.21579 52.01494),
http://www.wikidata.org/entity/Q17406706,Point(4.38678 51.42932),
http://www.wikidata.org/entity/Q17406725,Point(5.81782 53.10491),
http://www.wikidata.org/entity/Q17406750,Point(5.80199 53.08442),
http://www.wikidata.org/entity/Q17406751,Point(5.81315 53.08407),
http://www.wikidata.org/entity/Q17406767,Point(5.77969 53.12473),
http://www.wikidata.org/entity/Q17406942,Point(5.8616 53.15607),
http://www.wikidata.org/entity/Q17406975,Point(5.89888 53.14947),
http://www.wikidata.org/entity/Q17407025,Point(4.92064 52.13311),
http://www.wikidata.org/entity/Q17407028,Point(4.93163 52.13718),
http://www.wikidata.org/entity/Q17410113,Point(3.98575 51.51699),
http://www.wikidata.org/entity/Q17410133,Point(3.98382 51.51161),
http://www.wikidata.org/entity/Q17410135,Point(3.98519 51.51708),
