item,geo,inception
http://www.wikidata.org/entity/Q281903,Point(4.354444 52.011667),1897-01-01T00:00:00Z
http://www.wikidata.org/entity/Q361792,Point(4.47083333 51.91444444),1988-01-01T00:00:00Z
http://www.wikidata.org/entity/Q165366,Point(4.8840398 52.3751472),1960-05-03T00:00:00Z
http://www.wikidata.org/entity/Q260913,Point(5.125833 52.083333),1838-01-01T00:00:00Z
http://www.wikidata.org/entity/Q572269,Point(5.458333 51.995278),1662-01-01T00:00:00Z
http://www.wikidata.org/entity/Q601223,Point(5.543611 53.187222),1781-01-01T00:00:00Z
http://www.wikidata.org/entity/Q431431,Point(5.22222 52.25944),1956-01-01T00:00:00Z
http://www.wikidata.org/entity/Q474563,Point(4.640278 52.380556),1778-01-01T00:00:00Z
http://www.wikidata.org/entity/Q484899,Point(5.869789 51.848769),1981-01-01T00:00:00Z
http://www.wikidata.org/entity/Q493160,Point(4.899363 52.375076),1888-04-28T00:00:00Z
http://www.wikidata.org/entity/Q23212,Point(5.446944444 51.443611111),1966-01-01T00:00:00Z
http://www.wikidata.org/entity/Q153193,Point(5.976667 50.885),1977-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1813825,Point(6.887028 52.21385),1900-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1820897,Point(4.890833 52.370278),1926-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1823597,Point(5.97934 50.88792),1874-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1853707,Point(4.90518 52.3676),1675-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1853707,Point(4.905278 52.3675),1675-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1857081,Point(4.32627 52.08118),1802-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1862034,Point(4.8754 52.37233),1952-05-21T00:00:00Z
http://www.wikidata.org/entity/Q1863317,Point(6.00028 53.32528),1963-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1886369,Point(6.196891666 52.140316666),1975-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1888033,Point(6.5635 53.133361111),1996-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1920457,Point(4.48243 51.9155),2002-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1938001,Point(5.04989 51.6501),2003-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1943968,Point(4.37945 51.43202),1977-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1954426,Point(5.124167 52.087222),1979-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2206529,Point(4.911158 52.3664),1962-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2218690,Point(4.88575 52.363861),1969-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2224691,Point(4.94028 52.3692),1915-11-02T00:00:00Z
http://www.wikidata.org/entity/Q2233016,Point(5.79333 53.205),1954-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2261423,Point(5.224167 52.373889),1994-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2267276,Point(4.91852 52.36573),1838-01-01T00:00:00Z
