item,geo
http://www.wikidata.org/entity/Q2018933,Point(5.285 51.80917)
http://www.wikidata.org/entity/Q2131828,Point(6.695464 53.060322)
http://www.wikidata.org/entity/Q2216606,Point(3.372330555 51.364794444)
http://www.wikidata.org/entity/Q2327435,Point(6.73099 51.9503)
http://www.wikidata.org/entity/Q2327435,Point(6.733333333 51.95)
http://www.wikidata.org/entity/Q2471638,Point(5.76667 50.85019)
http://www.wikidata.org/entity/Q2560194,Point(5.95 53.233333333)
http://www.wikidata.org/entity/Q2560194,Point(5.9528 53.2339)
http://www.wikidata.org/entity/Q2796795,Point(6.324166666 52.363611111)
http://www.wikidata.org/entity/Q3262769,Point(6.800833333 52.158611111)
http://www.wikidata.org/entity/Q13136593,Point(5.93175 53.305222222)
http://www.wikidata.org/entity/Q14520231,Point(6.74526 51.90552)
http://www.wikidata.org/entity/Q14520231,Point(6.74544 51.90949)
http://www.wikidata.org/entity/Q15694878,Point(4.221111111 51.797611111)
http://www.wikidata.org/entity/Q15699141,Point(4.105555555 51.826666666)
http://www.wikidata.org/entity/Q15829123,Point(4.057444444 51.813)
http://www.wikidata.org/entity/Q15872133,Point(4.094666666 51.880388888)
http://www.wikidata.org/entity/Q15874678,Point(4.006972222 51.837305555)
http://www.wikidata.org/entity/Q15874824,Point(4.336111111 51.968388888)
http://www.wikidata.org/entity/Q15879280,Point(4.071722222 51.8795)
http://www.wikidata.org/entity/Q15917826,Point(5.46905 51.366577777)
http://www.wikidata.org/entity/Q5317510,Point(4.044341666 51.891841666)
http://www.wikidata.org/entity/Q24964100,Point(5.696111111 50.804722222)
http://www.wikidata.org/entity/Q29866551,Point(4.386805555 51.831197222)
http://www.wikidata.org/entity/Q55186643,Point(5.170772222 52.082447222)
http://www.wikidata.org/entity/Q55527912,Point(7.116666666 53.0)
http://www.wikidata.org/entity/Q55528641,Point(6.919444444 52.386944444)
http://www.wikidata.org/entity/Q55532619,Point(6.616666666 52.95)
http://www.wikidata.org/entity/Q55567019,Point(5.695833333 51.5)
http://www.wikidata.org/entity/Q55567124,Point(4.666666666 51.9)
http://www.wikidata.org/entity/Q55567322,Point(6.616666666 52.783333333)
http://www.wikidata.org/entity/Q55569645,Point(6.544722222 52.508611111)
http://www.wikidata.org/entity/Q55571170,Point(5.65 51.4)
http://www.wikidata.org/entity/Q55571624,Point(5.65 53.316666666)
http://www.wikidata.org/entity/Q55573453,Point(6.655 52.905277777)
http://www.wikidata.org/entity/Q55574474,Point(6.516388888 53.104444444)
http://www.wikidata.org/entity/Q55574491,Point(6.733333333 51.983333333)
http://www.wikidata.org/entity/Q55574817,Point(5.500277777 53.435)
http://www.wikidata.org/entity/Q63882296,Point(5.96675 52.524375)
http://www.wikidata.org/entity/Q64923291,Point(6.092686 52.145631)
