item,geo
http://www.wikidata.org/entity/Q1220779,Point(4.986933 52.352433)
http://www.wikidata.org/entity/Q511560,Point(4.8325 52.310833)
http://www.wikidata.org/entity/Q611057,Point(5.725 53.032777777)
http://www.wikidata.org/entity/Q639321,Point(4.881619 52.357611)
http://www.wikidata.org/entity/Q645372,Point(4.896389 52.354444)
http://www.wikidata.org/entity/Q655469,Point(4.89528 52.32861)
http://www.wikidata.org/entity/Q2792550,Point(6.95403 52.98195)
http://www.wikidata.org/entity/Q2792550,Point(6.9514 52.98343)
http://www.wikidata.org/entity/Q2799530,Point(4.334722222 52.127222222)
http://www.wikidata.org/entity/Q2799734,Point(5.7912 51.8063)
http://www.wikidata.org/entity/Q2877694,Point(4.861964 52.074442)
http://www.wikidata.org/entity/Q2907546,Point(5.97402 50.94334)
http://www.wikidata.org/entity/Q2910501,Point(6.02222 52.01778)
http://www.wikidata.org/entity/Q2913795,Point(4.77116 52.00068)
http://www.wikidata.org/entity/Q2914666,Point(6.18673 51.358835)
http://www.wikidata.org/entity/Q2939501,Point(5.78833 52.9706)
http://www.wikidata.org/entity/Q3057391,Point(5.12622 52.0828)
http://www.wikidata.org/entity/Q3122189,Point(4.851666666 52.374722222)
http://www.wikidata.org/entity/Q3122189,Point(4.85145 52.37489)
http://www.wikidata.org/entity/Q3146456,Point(5.87168 51.98499)
http://www.wikidata.org/entity/Q3149634,Point(4.909167 52.368056)
http://www.wikidata.org/entity/Q3165698,Point(4.54111 51.88944)
http://www.wikidata.org/entity/Q3166839,Point(5.6533 53.03278)
http://www.wikidata.org/entity/Q3260331,Point(5.54891 51.4742)
http://www.wikidata.org/entity/Q3367842,Point(4.48667 51.88056)
http://www.wikidata.org/entity/Q3408048,Point(5.169722 52.336389)
http://www.wikidata.org/entity/Q3460619,Point(4.84556 52.36278)
http://www.wikidata.org/entity/Q3464842,Point(6.11006 53.26449)
http://www.wikidata.org/entity/Q3504880,Point(4.331667 52.025833)
http://www.wikidata.org/entity/Q3534779,Point(4.33923 52.09959)
http://www.wikidata.org/entity/Q3542573,Point(5.948667 51.986275)
http://www.wikidata.org/entity/Q3902582,Point(4.48245 52.15422)
http://www.wikidata.org/entity/Q3916683,Point(5.141111 52.0875)
http://www.wikidata.org/entity/Q3921376,Point(5.870833 51.847778)
http://www.wikidata.org/entity/Q3926591,Point(4.49722 52.13917)
http://www.wikidata.org/entity/Q4035885,Point(4.97484 52.29072)
http://www.wikidata.org/entity/Q4284812,Point(5.8109 53.1896)
http://www.wikidata.org/entity/Q4356098,Point(4.84673 52.42839)
http://www.wikidata.org/entity/Q4363075,Point(6.124438 51.374241)
http://www.wikidata.org/entity/Q4366100,Point(5.864722 51.990278)
http://www.wikidata.org/entity/Q4489453,Point(4.78194 51.58694)
http://www.wikidata.org/entity/Q4489648,Point(6.09833 52.51083)
http://www.wikidata.org/entity/Q4513090,Point(4.669444444 52.325)
http://www.wikidata.org/entity/Q4601783,Point(6.21306 51.38389)
http://www.wikidata.org/entity/Q4664031,Point(6.20131 51.372965)
http://www.wikidata.org/entity/Q1419691,Point(4.866388888 52.356944444)
http://www.wikidata.org/entity/Q1815009,Point(5.242222222 52.164722222)
http://www.wikidata.org/entity/Q1817025,Point(6.146743 51.370473)
http://www.wikidata.org/entity/Q1820526,Point(4.79764 52.34908)
http://www.wikidata.org/entity/Q1828292,Point(6.097714 52.526731)
http://www.wikidata.org/entity/Q1842158,Point(4.625 51.86944)
http://www.wikidata.org/entity/Q1845531,Point(4.88194 52.34278)
http://www.wikidata.org/entity/Q1864510,Point(4.491197 51.997367)
http://www.wikidata.org/entity/Q1864867,Point(6.56111 53.15083)
http://www.wikidata.org/entity/Q1865395,Point(4.32068 52.07339)
http://www.wikidata.org/entity/Q1872824,Point(4.518056 51.919167)
http://www.wikidata.org/entity/Q1883754,Point(4.87425 52.32873)
http://www.wikidata.org/entity/Q1896666,Point(4.91889 52.39306)
http://www.wikidata.org/entity/Q1910802,Point(5.63693 51.487125)
http://www.wikidata.org/entity/Q1913968,Point(4.857244 52.031847)
http://www.wikidata.org/entity/Q1914230,Point(4.51778 51.915)
http://www.wikidata.org/entity/Q1921352,Point(5.286430555 52.192744444)
http://www.wikidata.org/entity/Q1933592,Point(4.2908 52.1042)
http://www.wikidata.org/entity/Q1948006,Point(5.95 51.99472)
http://www.wikidata.org/entity/Q1948956,Point(4.8761 52.37432)
http://www.wikidata.org/entity/Q1952871,Point(5.874194 51.82)
http://www.wikidata.org/entity/Q1965409,Point(6.115 51.40139)
http://www.wikidata.org/entity/Q1966267,Point(5.10361 52.07056)
http://www.wikidata.org/entity/Q1973204,Point(5.933142 52.001356)
http://www.wikidata.org/entity/Q1973994,Point(6.08778 52.50889)
http://www.wikidata.org/entity/Q1976386,Point(4.47419 52.1708)
http://www.wikidata.org/entity/Q1977753,Point(5.48028 51.43361)
http://www.wikidata.org/entity/Q1979741,Point(4.89793 52.37768)
http://www.wikidata.org/entity/Q2012700,Point(6.152387 51.36287)
http://www.wikidata.org/entity/Q2014485,Point(4.507778 52.331389)
http://www.wikidata.org/entity/Q2014485,Point(4.54336 52.33583)
http://www.wikidata.org/entity/Q2019305,Point(4.79806 52.34583)
http://www.wikidata.org/entity/Q2023144,Point(5.91261 52.55623)
http://www.wikidata.org/entity/Q2024262,Point(4.822655555 52.315344444)
http://www.wikidata.org/entity/Q2025193,Point(6.131905 51.372219)
http://www.wikidata.org/entity/Q2026299,Point(5.988408 50.948722)
http://www.wikidata.org/entity/Q2041930,Point(6.193442 52.689158)
http://www.wikidata.org/entity/Q2050950,Point(4.76681 51.57925)
http://www.wikidata.org/entity/Q2052511,Point(6.03417 50.87889)
http://www.wikidata.org/entity/Q2054755,Point(5.904722 51.991667)
http://www.wikidata.org/entity/Q2055689,Point(5.032778 51.563611)
http://www.wikidata.org/entity/Q2065659,Point(4.739228 52.020256)
http://www.wikidata.org/entity/Q2065722,Point(4.29808 52.11627)
http://www.wikidata.org/entity/Q2066249,Point(6.100975 52.514236)
http://www.wikidata.org/entity/Q2077632,Point(6.140478 51.370116)
http://www.wikidata.org/entity/Q2078523,Point(5.126944 52.100556)
http://www.wikidata.org/entity/Q2078523,Point(5.1271 52.10126)
http://www.wikidata.org/entity/Q2078814,Point(5.55432 51.47769)
