item,geo
http://www.wikidata.org/entity/Q4320870,Point(5.04567 51.6479)
http://www.wikidata.org/entity/Q2290298,Point(4.311769 52.080217)
http://www.wikidata.org/entity/Q2577842,Point(4.897838888 51.812797222)
http://www.wikidata.org/entity/Q7371944,Point(5.045344444 51.647775)
http://www.wikidata.org/entity/Q14519523,Point(5.272097 52.212039)
http://www.wikidata.org/entity/Q15879520,Point(5.89191 50.9385)
http://www.wikidata.org/entity/Q17440346,Point(5.45965 51.99502)
http://www.wikidata.org/entity/Q17465089,Point(6.07766 50.86918)
http://www.wikidata.org/entity/Q17594954,Point(4.153936111 51.895652777)
http://www.wikidata.org/entity/Q18088614,Point(4.952108 52.388361)
http://www.wikidata.org/entity/Q18813203,Point(4.83046 52.35863)
http://www.wikidata.org/entity/Q41992110,Point(6.772222 52.208611)
