item,geo
http://www.wikidata.org/entity/Q431283,Point(4.189722222 51.905555555)
http://www.wikidata.org/entity/Q511560,Point(4.8325 52.310833)
http://www.wikidata.org/entity/Q580977,Point(5.373303 52.08085)
http://www.wikidata.org/entity/Q734615,Point(4.676666666 52.386666666)
http://www.wikidata.org/entity/Q1184152,Point(4.3781 52.0214)
http://www.wikidata.org/entity/Q1184152,Point(4.37538 52.02233)
http://www.wikidata.org/entity/Q1487911,Point(4.991111 52.306389)
http://www.wikidata.org/entity/Q1833257,Point(4.420902777 51.692930555)
http://www.wikidata.org/entity/Q1879481,Point(5.333947 51.380083)
http://www.wikidata.org/entity/Q1924933,Point(4.44389 52.16083)
http://www.wikidata.org/entity/Q1961246,Point(6.58805 52.37137)
http://www.wikidata.org/entity/Q1965069,Point(4.277956 51.969086)
http://www.wikidata.org/entity/Q1983438,Point(4.557694 51.564861)
http://www.wikidata.org/entity/Q2001977,Point(5.5593 52.31035)
http://www.wikidata.org/entity/Q2001977,Point(5.564167 52.315556)
http://www.wikidata.org/entity/Q2004407,Point(6.05527778 51.99805556)
http://www.wikidata.org/entity/Q2015330,Point(4.82917 52.15944)
http://www.wikidata.org/entity/Q2024525,Point(5.336944 51.721944)
http://www.wikidata.org/entity/Q2024867,Point(5.3421 51.68927)
http://www.wikidata.org/entity/Q2024867,Point(5.34194444 51.68972222)
http://www.wikidata.org/entity/Q2041641,Point(4.931667 52.290833)
http://www.wikidata.org/entity/Q2050876,Point(6.83611 52.17694)
http://www.wikidata.org/entity/Q2055689,Point(5.032778 51.563611)
http://www.wikidata.org/entity/Q2106527,Point(6.71139 53.14417)
http://www.wikidata.org/entity/Q2126790,Point(5.31833 51.67417)
http://www.wikidata.org/entity/Q2126790,Point(5.31807 51.67447)
http://www.wikidata.org/entity/Q2136620,Point(4.744167 52.0375)
http://www.wikidata.org/entity/Q2140282,Point(5.53928 52.27578)
http://www.wikidata.org/entity/Q2140282,Point(5.54222 52.27806)
http://www.wikidata.org/entity/Q2148207,Point(6.63 51.94722)
http://www.wikidata.org/entity/Q2148780,Point(4.701977 52.423308)
http://www.wikidata.org/entity/Q2155726,Point(5.14083 52.33472)
http://www.wikidata.org/entity/Q2155726,Point(5.13825 52.33676)
http://www.wikidata.org/entity/Q2200746,Point(5.1519 52.3089)
http://www.wikidata.org/entity/Q2220392,Point(4.538333 52.205278)
http://www.wikidata.org/entity/Q2220755,Point(6.104191666 52.201280555)
http://www.wikidata.org/entity/Q2223861,Point(4.304067 51.847947)
http://www.wikidata.org/entity/Q2230514,Point(6.268603 51.935322)
http://www.wikidata.org/entity/Q2231740,Point(5.966666666 51.2)
http://www.wikidata.org/entity/Q2245498,Point(4.404639 52.03285)
http://www.wikidata.org/entity/Q2282055,Point(6.596667 53.237778)
http://www.wikidata.org/entity/Q2291632,Point(4.515 51.934722)
http://www.wikidata.org/entity/Q2291632,Point(4.5153 51.93667)
http://www.wikidata.org/entity/Q2320275,Point(5.08079 52.0937)
http://www.wikidata.org/entity/Q2329366,Point(5.93306 53.27917)
http://www.wikidata.org/entity/Q2335564,Point(4.58694 51.98333)
http://www.wikidata.org/entity/Q2360916,Point(5.925 51.73583)
http://www.wikidata.org/entity/Q2364965,Point(5.882705555 51.068786111)
http://www.wikidata.org/entity/Q2385330,Point(4.244155555 51.992513888)
http://www.wikidata.org/entity/Q2393637,Point(6.55861 52.5475)
http://www.wikidata.org/entity/Q2435753,Point(4.738775 51.636163888)
http://www.wikidata.org/entity/Q2436270,Point(6.71934 51.99347)
http://www.wikidata.org/entity/Q2456934,Point(5.69 51.84694)
http://www.wikidata.org/entity/Q2466706,Point(4.55361 52.00444)
http://www.wikidata.org/entity/Q2499724,Point(4.96781 52.28479)
http://www.wikidata.org/entity/Q2505409,Point(3.494833 51.386219)
http://www.wikidata.org/entity/Q2511480,Point(4.647333938 52.06197533)
http://www.wikidata.org/entity/Q2512666,Point(5.86786 51.93866)
http://www.wikidata.org/entity/Q2529688,Point(4.44361 52.12556)
http://www.wikidata.org/entity/Q2542980,Point(6.007277777 52.399083333)
http://www.wikidata.org/entity/Q2571412,Point(6.15417 52.49667)
http://www.wikidata.org/entity/Q2584282,Point(5.92111 52.93778)
http://www.wikidata.org/entity/Q2660453,Point(4.650564 52.297208)
http://www.wikidata.org/entity/Q2677308,Point(4.816944 52.364722)
http://www.wikidata.org/entity/Q2677308,Point(4.81928 52.36577)
http://www.wikidata.org/entity/Q2677648,Point(5.804128 52.361922)
http://www.wikidata.org/entity/Q2677648,Point(5.8166 52.3651)
http://www.wikidata.org/entity/Q2703743,Point(5.87938 53.21332)
http://www.wikidata.org/entity/Q2734622,Point(4.39693 52.1761)
http://www.wikidata.org/entity/Q2751700,Point(5.2492 51.7147)
http://www.wikidata.org/entity/Q2753274,Point(3.737778 51.322778)
http://www.wikidata.org/entity/Q2759712,Point(5.77333 51.81361)
http://www.wikidata.org/entity/Q2774846,Point(5.721944 51.474722)
http://www.wikidata.org/entity/Q2789838,Point(4.684722 52.136389)
http://www.wikidata.org/entity/Q2804041,Point(4.50036 51.83981)
http://www.wikidata.org/entity/Q2832221,Point(4.829444 52.331944)
http://www.wikidata.org/entity/Q2934319,Point(5.254444 51.651944)
http://www.wikidata.org/entity/Q2936839,Point(6.88694 52.30556)
http://www.wikidata.org/entity/Q3071798,Point(3.80111 51.54194)
http://www.wikidata.org/entity/Q3119287,Point(6.307053 51.917056)
http://www.wikidata.org/entity/Q3217716,Point(4.29972 51.91139)
http://www.wikidata.org/entity/Q3413164,Point(5.013889 52.35)
http://www.wikidata.org/entity/Q3478256,Point(4.755556 51.522222)
http://www.wikidata.org/entity/Q3504880,Point(4.331667 52.025833)
http://www.wikidata.org/entity/Q3895101,Point(5.61917 52.17444)
http://www.wikidata.org/entity/Q4421307,Point(5.382222 51.710833)
http://www.wikidata.org/entity/Q4472659,Point(4.544392 51.976369)
http://www.wikidata.org/entity/Q4513090,Point(4.669444444 52.325)
http://www.wikidata.org/entity/Q5027709,Point(4.89731 52.43865)
http://www.wikidata.org/entity/Q5447137,Point(4.49547 51.84326)
http://www.wikidata.org/entity/Q13445390,Point(4.31722 51.93583)
http://www.wikidata.org/entity/Q14322248,Point(5.88208 51.012)
http://www.wikidata.org/entity/Q14518119,Point(5.22361 52.36222)
http://www.wikidata.org/entity/Q14527297,Point(5.14417 52.32667)
http://www.wikidata.org/entity/Q15210570,Point(3.505 51.406)
http://www.wikidata.org/entity/Q18061124,Point(5.492847222 52.268769444)
http://www.wikidata.org/entity/Q18089041,Point(5.033722 51.846528)
http://www.wikidata.org/entity/Q18169524,Point(6.18472 53.3283)
http://www.wikidata.org/entity/Q18768756,Point(4.77184 52.96094)
http://www.wikidata.org/entity/Q18813767,Point(5.68453 51.24171)
http://www.wikidata.org/entity/Q19853466,Point(6.516667 52.983333)
http://www.wikidata.org/entity/Q20871745,Point(5.373858333 51.972325)
http://www.wikidata.org/entity/Q21008972,Point(5.353333 51.765278)
http://www.wikidata.org/entity/Q22343337,Point(5.097236111 51.6792)
http://www.wikidata.org/entity/Q26234060,Point(5.776928 51.216536)
http://www.wikidata.org/entity/Q26928854,Point(5.865469 51.177786)
http://www.wikidata.org/entity/Q27070654,Point(5.062383 52.169372)
http://www.wikidata.org/entity/Q27526184,Point(7.135361 52.947028)
http://www.wikidata.org/entity/Q27959422,Point(4.761458 52.686619)
http://www.wikidata.org/entity/Q27995464,Point(4.463883 52.007156)
http://www.wikidata.org/entity/Q30666292,Point(5.7338556 52.4161741)
http://www.wikidata.org/entity/Q42170687,Point(6.404778 51.912028)
http://www.wikidata.org/entity/Q102258509,Point(4.677393 52.447959)
